Germany;Baden-Wurttemberg
Germany;Bavaria
Germany;Berlin
Germany;Brandenburg
Germany;Bremen
Germany;Hamburg
Germany;Hesse
Germany;Lower Saxony
Germany;Mecklenburg-Vorpommern
Germany;North Rhine-Westphalia
Germany;Rhineland-Palatinate
Germany;Saarland
Germany;Saxony-Anhalt
Germany;Saxony
Germany;Schleswig-Holstein
Germany;Thuringia
Spain;Andalucia
Spain;Aragon
Spain;Asturias
Spain;Balearic Islands
Spain;Basque Country
Spain;Canary Islands
Spain;Cantabria
Spain;Castile and Leon
Spain;Castilla-La Mancha
Spain;Catalonia
Spain;Ceuta
Spain;Community of Madrid
Spain;Extremadura
Spain;Galicia
Spain;La Rioja
Spain;Melilla
Spain;Murcia
Spain;Navarre
Spain;Valencian Community
